"scenario_id","denom_spec_id","risk_spec","sample_variant","weighting","model_id","controls","target_beta","childhealth_beta","robust_se","p_value","n","abs_error_to_target","denom_components","risk_components","include_emoney","include_other_fin","include_housing_fund","include_jizikuan","include_unpaid_salary","total_abs_error_to_targets","max_abs_error_to_target","min_n_across_models","rank_by_target_error"
"denom_7__stock_fund_lend__winsor_top2__impute0","denom_7","stock_fund_lend","winsor_top2","unweighted","(4)","Yes",-0.002,-0.000772659146774614,0.00163820072103258,0.637182456924414,15598,0.00122734085322539,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,1,1,0,0,0.0024401441511926,0.00122734085322539,15598,18
"denom_17__stock_fund_lend__all__impute0","denom_17","stock_fund_lend","all","unweighted","(3)","No",-0.003,-0.00180544264243969,0.00163766032523344,0.270282030417769,15598,0.00119455735756031,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,1,0.00247405538133564,0.00127949802377532,15598,19
"denom_17__stock_fund_lend__all__impute0","denom_17","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.000720501976224676,0.00161820051706786,0.656146083683218,15598,0.00127949802377532,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,1,0.00247405538133564,0.00127949802377532,15598,19
"denom_17__stock_fund_lend__winsor_top1__impute0","denom_17","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00180544264243969,0.00163766032523344,0.270282030417769,15598,0.00119455735756031,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,1,0.00247405538133564,0.00127949802377532,15598,20
"denom_17__stock_fund_lend__winsor_top1__impute0","denom_17","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.000720501976224676,0.00161820051706786,0.656146083683218,15598,0.00127949802377532,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,1,0.00247405538133564,0.00127949802377532,15598,20
"denom_17__stock_fund_lend__winsor_top2__impute0","denom_17","stock_fund_lend","winsor_top2","unweighted","(3)","No",-0.003,-0.00180035320577548,0.00162646517706639,0.268349213257454,15598,0.00119964679422452,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,1,0.00248026071811203,0.00128061392388752,15598,21
"denom_17__stock_fund_lend__winsor_top2__impute0","denom_17","stock_fund_lend","winsor_top2","unweighted","(4)","Yes",-0.002,-0.000719386076112485,0.00160698465583184,0.65440331954187,15598,0.00128061392388752,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,0,0,1,0.00248026071811203,0.00128061392388752,15598,21
"denom_9__stock_fund_lend__all__impute0","denom_9","stock_fund_lend","all","unweighted","(3)","No",-0.003,-0.00181444395888904,0.00167495524997391,0.278701321242301,15598,0.00118555604111096,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",0,0,0,1,0,0.00248550981409768,0.00129995377298672,15598,22
"denom_9__stock_fund_lend__all__impute0","denom_9","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.000700046227013275,0.00165367568606356,0.672062245394352,15598,0.00129995377298672,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",0,0,0,1,0,0.00248550981409768,0.00129995377298672,15598,22
"denom_9__stock_fund_lend__winsor_top1__impute0","denom_9","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00181444395888904,0.00167495524997391,0.278701321242301,15598,0.00118555604111096,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",0,0,0,1,0,0.00248550981409768,0.00129995377298672,15598,23
"denom_9__stock_fund_lend__winsor_top1__impute0","denom_9","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.000700046227013275,0.00165367568606356,0.672062245394352,15598,0.00129995377298672,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",0,0,0,1,0,0.00248550981409768,0.00129995377298672,15598,23
"denom_9__stock_fund_lend__winsor_top2__impute0","denom_9","stock_fund_lend","winsor_top2","unweighted","(3)","No",-0.003,-0.0018080504987118,0.00166417162213882,0.277293755418451,15598,0.0011919495012882,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",0,0,0,1,0,0.00249445491329726,0.00130250541200906,15598,24
"denom_9__stock_fund_lend__winsor_top2__impute0","denom_9","stock_fund_lend","winsor_top2","unweighted","(4)","Yes",-0.002,-0.00069749458799094,0.00164292833747825,0.671175327447225,15598,0.00130250541200906,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",0,0,0,1,0,0.00249445491329726,0.00130250541200906,15598,24
"denom_3__stock_fund_lend__all__impute0","denom_3","stock_fund_lend","all","unweighted","(3)","No",-0.003,-0.00179439699445505,0.00168127789932878,0.285861207087526,15598,0.00120560300554495,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt","stock_amt+fund_amt+lend_amt",0,1,0,0,0,0.0025011755678463,0.00129557256230135,15598,25
"denom_3__stock_fund_lend__all__impute0","denom_3","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.000704427437698652,0.00165994912575933,0.671304123217998,15598,0.00129557256230135,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt","stock_amt+fund_amt+lend_amt",0,1,0,0,0,0.0025011755678463,0.00129557256230135,15598,25
"denom_3__stock_fund_lend__winsor_top1__impute0","denom_3","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00179439699445505,0.00168127789932878,0.285861207087526,15598,0.00120560300554495,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt","stock_amt+fund_amt+lend_amt",0,1,0,0,0,0.0025011755678463,0.00129557256230135,15598,26
"denom_3__stock_fund_lend__winsor_top1__impute0","denom_3","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.000704427437698652,0.00165994912575933,0.671304123217998,15598,0.00129557256230135,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt","stock_amt+fund_amt+lend_amt",0,1,0,0,0,0.0025011755678463,0.00129557256230135,15598,26
"denom_3__stock_fund_lend__winsor_top2__impute0","denom_3","stock_fund_lend","winsor_top2","unweighted","(3)","No",-0.003,-0.0017911767530098,0.00167039587937188,0.283598874362152,15598,0.0012088232469902,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt","stock_amt+fund_amt+lend_amt",0,1,0,0,0,0.00250362644618297,0.00129480319919276,15598,27
"denom_3__stock_fund_lend__winsor_top2__impute0","denom_3","stock_fund_lend","winsor_top2","unweighted","(4)","Yes",-0.002,-0.000705196800807235,0.0016490907445513,0.668928137157189,15598,0.00129480319919276,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt","stock_amt+fund_amt+lend_amt",0,1,0,0,0,0.00250362644618297,0.00129480319919276,15598,27
"denom_29__stock_fund_lend__winsor_top1__impute0","denom_29","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00174201552229805,0.00161205870424172,0.279884922155615,15598,0.00125798447770195,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,1,1,0.00251117168850975,0.00125798447770195,15598,28
"denom_29__stock_fund_lend__winsor_top1__impute0","denom_29","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.0007468127891922,0.00159431841633076,0.639489849348807,15598,0.0012531872108078,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,1,1,0.00251117168850975,0.00125798447770195,15598,28
"denom_29__stock_fund_lend__all__impute0","denom_29","stock_fund_lend","all","unweighted","(3)","No",-0.003,-0.00174198254639432,0.00161211182874826,0.279909871670461,15598,0.00125801745360568,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,1,1,0.00251124576151192,0.00125801745360568,15598,29
"denom_29__stock_fund_lend__all__impute0","denom_29","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.000746771692093761,0.00159437153220547,0.6395194360228,15598,0.00125322830790624,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,1,1,0.00251124576151192,0.00125801745360568,15598,29
"denom_2__stock_fund_lend__winsor_top2__impute0","denom_2","stock_fund_lend","winsor_top2","unweighted","(3)","No",-0.003,-0.00178071294843809,0.00166064112497926,0.283599879001521,15598,0.00121928705156191,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt","stock_amt+fund_amt+lend_amt",1,0,0,0,0,0.00252537726973681,0.0013060902181749,15598,30
"denom_2__stock_fund_lend__winsor_top2__impute0","denom_2","stock_fund_lend","winsor_top2","unweighted","(4)","Yes",-0.002,-0.0006939097818251,0.00163985190322645,0.672188791256984,15598,0.0013060902181749,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt","stock_amt+fund_amt+lend_amt",1,0,0,0,0,0.00252537726973681,0.0013060902181749,15598,30
"denom_2__stock_fund_lend__all__impute0","denom_2","stock_fund_lend","all","unweighted","(3)","No",-0.003,-0.00178143482524317,0.00167370331431403,0.287178887916673,15598,0.00121856517475683,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt","stock_amt+fund_amt+lend_amt",1,0,0,0,0,0.00252789762802159,0.00130933245326476,15598,31
"denom_2__stock_fund_lend__all__impute0","denom_2","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.000690667546735236,0.00165289419229005,0.67606002015594,15598,0.00130933245326476,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt","stock_amt+fund_amt+lend_amt",1,0,0,0,0,0.00252789762802159,0.00130933245326476,15598,31
"denom_2__stock_fund_lend__winsor_top1__impute0","denom_2","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00178143482524317,0.00167370331431403,0.287178887916673,15598,0.00121856517475683,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt","stock_amt+fund_amt+lend_amt",1,0,0,0,0,0.00252789762802159,0.00130933245326476,15598,32
"denom_2__stock_fund_lend__winsor_top1__impute0","denom_2","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.000690667546735236,0.00165289419229005,0.67606002015594,15598,0.00130933245326476,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt","stock_amt+fund_amt+lend_amt",1,0,0,0,0,0.00252789762802159,0.00130933245326476,15598,32
"denom_29__stock_fund_lend__winsor_top2__impute0","denom_29","stock_fund_lend","winsor_top2","unweighted","(3)","No",-0.003,-0.00172971499891995,0.00159726553685512,0.27885950747983,15598,0.00127028500108005,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,1,1,0.00253208335383719,0.00127028500108005,15598,33
"denom_29__stock_fund_lend__winsor_top2__impute0","denom_29","stock_fund_lend","winsor_top2","unweighted","(4)","Yes",-0.002,-0.00073820164724286,0.00157947411105458,0.640240431237257,15598,0.00126179835275714,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt+lend_amt",0,0,1,1,1,0.00253208335383719,0.00127028500108005,15598,33
