"scenario_id","denom_spec_id","risk_spec","sample_variant","weighting","model_id","controls","target_beta","childhealth_beta","robust_se","p_value","n","abs_error_to_target","denom_components","risk_components","include_emoney","include_other_fin","include_housing_fund","include_jizikuan","include_unpaid_salary","total_abs_error_to_targets","max_abs_error_to_target","min_n_across_models","rank_by_target_error"
"denom_31__stock_fund__winsor_top2__unweighted","denom_31","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt",0,1,1,1,1,0.005,0.003,14686,374
"denom_32__stock_fund__winsor_top2__unweighted","denom_32","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+other_fin_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt",1,1,1,1,1,0.005,0.003,14686,375
"denom_32__stock_fund__winsor_top2__unweighted","denom_32","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+other_fin_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt",1,1,1,1,1,0.005,0.003,14686,375
"denom_3__stock_fund__winsor_top2__unweighted","denom_3","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt","stock_amt+fund_amt",0,1,0,0,0,0.005,0.003,14686,376
"denom_3__stock_fund__winsor_top2__unweighted","denom_3","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt","stock_amt+fund_amt",0,1,0,0,0,0.005,0.003,14686,376
"denom_4__stock_fund__winsor_top2__unweighted","denom_4","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+other_fin_amt","stock_amt+fund_amt",1,1,0,0,0,0.005,0.003,14686,377
"denom_4__stock_fund__winsor_top2__unweighted","denom_4","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+other_fin_amt","stock_amt+fund_amt",1,1,0,0,0,0.005,0.003,14686,377
"denom_5__stock_fund__winsor_top2__unweighted","denom_5","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt",0,0,1,0,0,0.005,0.003,14686,378
"denom_5__stock_fund__winsor_top2__unweighted","denom_5","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt","stock_amt+fund_amt",0,0,1,0,0,0.005,0.003,14686,378
"denom_6__stock_fund__winsor_top2__unweighted","denom_6","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+housing_fund_amt","stock_amt+fund_amt",1,0,1,0,0,0.005,0.003,14686,379
"denom_6__stock_fund__winsor_top2__unweighted","denom_6","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+housing_fund_amt","stock_amt+fund_amt",1,0,1,0,0,0.005,0.003,14686,379
